,icd9_code,diagnoses_short_title,diagnoses_long_title,procedure_short_title,procedure_long_title
394,4143,Cor ath d/t lpd rch plaq,Coronary atherosclerosis due to lipid rich plaque,Partial splenectomy,Partial splenectomy
395,4210,Ac/subac bact endocard,Acute and subacute bacterial endocarditis,Esophagostomy NOS,"Esophagostomy, not otherwise specified"
396,4211,Ac endocardit in oth dis,Acute and subacute infective endocarditis in diseases classified elsewhere,Cervical esophagostomy,Cervical esophagostomy
397,4219,Ac/subac endocardit NOS,"Acute endocarditis, unspecified",Ext fistulizat esoph NEC,Other external fistulization of esophagus
398,4231,Adhesive pericarditis,Adhesive pericarditis,Loc excis esoph divertic,Local excision of esophageal diverticulum
399,4232,Constrictiv pericarditis,Constrictive pericarditis,Local excis esophag NEC,Local excision of other lesion or tissue of esophagus
400,4233,Cardiac tamponade,Cardiac tamponade,Endosc destruc esoph les,Endoscopic excision or destruction of lesion or tissue of esophagus
401,4239,Pericardial disease NOS,Unspecified disease of pericardium,Destruct esophag les NEC,Other destruction of lesion or tissue of esophagus
402,4240,Mitral valve disorder,Mitral valve disorders,Esophagectomy NOS,"Esophagectomy, not otherwise specified"
403,4241,Aortic valve disorder,Aortic valve disorders,Partial esophagectomy,Partial esophagectomy
404,4242,Nonrheum tricusp val dis,"Tricuspid valve disorders, specified as nonrheumatic",Total esophagectomy,Total esophagectomy
405,4252,Obsc afric cardiomyopath,Obscure cardiomyopathy of Africa,Thorac esophagogastrost,Intrathoracic esophagogastrostomy
406,4253,Endocard fibroelastosis,Endocardial fibroelastosis,Thorac sm bowel interpos,Intrathoracic esophageal anastomosis with interposition of small bowel
407,4254,Prim cardiomyopathy NEC,Other primary cardiomyopathies,Thorac esophagoenter NEC,Other intrathoracic esophagoenterostomy
408,4255,Alcoholic cardiomyopathy,Alcoholic cardiomyopathy,Thorac lg bowel interpos,Intrathoracic esophageal anastomosis with interposition of colon
409,4258,Cardiomyopath in oth dis,Cardiomyopathy in other diseases classified elsewhere,Thorac interposition NEC,Intrathoracic esophageal anastomosis with other interposition
410,4259,Second cardiomyopath NOS,"Secondary cardiomyopathy, unspecified",Thorac esophag anast NEC,Other intrathoracic anastomosis of esophagus
411,4262,Left bb hemiblock,Left bundle branch hemiblock,Stern esophagogastrostom,Antesternal esophagogastrostomy
412,4263,Left bb block NEC,Other left bundle branch block,Stern sm bowel interpos,Antesternal esophageal anastomosis with interposition of small bowel
413,4264,Rt bundle branch block,Right bundle branch block,Stern esophagoenter NEC,Other antesternal esophagoenterostomy
414,4266,Other heart block,Other heart block,Stern esophagocolos NEC,Other antesternal esophagocolostomy
415,4269,Conduction disorder NOS,"Conduction disorder, unspecified",Stern esophag anast NEC,Other antesternal anastomosis of esophagus
416,4281,Left heart failure,Left heart failure,Insert perm tube esophag,Insertion of permanent tube into esophagus
417,4289,Heart failure NOS,"Heart failure, unspecified",Esophageal repair NEC,Other repair of esophagus
418,4291,Myocardial degeneration,Myocardial degeneration,Ligation esoph varix,Ligation of esophageal varices
419,4292,Ascvd,"Cardiovascular disease, unspecified",Esophageal dilation,Dilation of esophagus
420,4299,Heart disease NOS,"Heart disease, unspecified",Esophageal operation NEC,Other operations on esophagus
421,430,Subarachnoid hemorrhage,Subarachnoid hemorrhage,Gastrotomy,Gastrotomy
422,3859,Dis mid ear/mastoid NOS,Unspecified disorder of middle ear and mastoid,Leg varicos v liga-strip,"Ligation and stripping of varicose veins, lower limb veins"
423,3862,Central origin vertigo,Vertigo of central origin,Head/neck vessel excis,"Other excision of vessels, other vessels of head and neck"
424,3897,"Deaf, nonspeaking NEC","Deaf, nonspeaking, not elsewhere classifiable",CV cath plcmt w guidance,Central venous catheter placement with guidance
425,3898,Hearing loss NEC,Other specified forms of hearing loss,Arterial puncture NEC,Other puncture of artery
426,3899,Hearing loss NOS,Unspecified hearing loss,Venous puncture NEC,Other puncture of vein
427,390,Rheum fev w/o hrt involv,Rheumatic fever without mention of heart involvement,Insert spinal canal cath,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
428,390,Rheum fev w/o hrt involv,Rheumatic fever without mention of heart involvement,Systemic-pulm art shunt,Systemic to pulmonary artery shunt
429,3929,Rheumatic chorea NOS,Rheumatic chorea without mention of heart involvement,Vasc shunt & bypass NEC,Other (peripheral) vascular shunt or bypass
430,393,Chr rheumatic pericard,Chronic rheumatic pericarditis,Imp/repl spine stim lead,Implantation or replacement of spinal neurostimulator lead(s)
431,3941,Rheumatic mitral insuff,Rheumatic mitral insufficiency,Postop vasc op hem contr,Control of hemorrhage following vascular surgery
432,3942,Mitral stenosis w insuff,Mitral stenosis with insufficiency,Revis ren dialysis shunt,Revision of arteriovenous shunt for renal dialysis
433,3949,Mitral valve dis NEC/NOS,Other and unspecified mitral valve diseases,Vasc proc revision NEC,Other revision of vascular procedure
434,3950,Rheumat aortic stenosis,Rheumatic aortic stenosis,Angio oth non-coronary,Angioplasty of other non-coronary vessel(s)
435,3951,Rheumatic aortic insuff,Rheumatic aortic insufficiency,Clipping of aneurysm,Clipping of aneurysm
436,3952,Rheum aortic sten/insuff,Rheumatic aortic stenosis with insufficiency,Aneurysm repair NEC,Other repair of aneurysm
437,3959,Rheum aortic dis NEC/NOS,Other and unspecified rheumatic aortic diseases,Repair of vessel NEC,Other repair of vessel
438,3961,Mitral stenos/aort insuf,Mitral valve stenosis and aortic valve insufficiency,Extracorporeal circulat,Extracorporeal circulation auxiliary to open heart surgery
439,3962,Mitral insuf/aort stenos,Mitral valve insufficiency and aortic valve stenosis,Hypothermia w open heart,Hypothermia (systemic) incidental to open heart surgery
440,3963,Mitral/aortic val insuff,Mitral valve insufficiency and aortic valve insufficiency,Cardioplegia,Cardioplegia
441,3971,Rheum pulmon valve dis,Rheumatic diseases of pulmonary valve,Endo imp oth grf abd aor,Endovascular implantation of other graft in abdominal aorta
442,3979,Rheum endocarditis NOS,"Rheumatic diseases of endocardium, valve unspecified",Oth endo proc oth vessel,Other endovascular procedures on other vessels
443,3868,Disorders labyrinth NEC,Other disorders of labyrinth,Leg artery excision,"Other excision of vessels, lower limb arteries"
444,3869,Vertiginous synd NOS,Unspecified vertiginous syndromes and labyrinthine disorders,Leg vein excision,"Other excision of vessels, lower limb veins"
445,3882,Sudden hearing loss NOS,"Sudden hearing loss, unspecified",Occlus head/neck ves NEC,"Other surgical occlusion of vessels, other vessels of head and neck"
446,3885,Acoustic nerve disorders,Disorders of acoustic nerve,Occlude thoracic ves NEC,"Other surgical occlusion of vessels, thoracic vessels"
447,3888,Disorders of ear NEC,Other disorders of ear,Occlude leg artery NEC,"Other surgical occlusion of vessels, lower limb arteries"
448,3889,Disorder of ear NOS,Unspecified disorder of ear,Occlude leg vein NEC,"Other surgical occlusion of vessels, lower limb veins"
449,3729,Conjunctiva disorder NOS,Unspecified disorder of conjunctiva,Hrt/pericar dx proc NEC,Other diagnostic procedures on heart and pericardium
450,3732,Chalazion,Chalazion,Heart aneurysm excision,Excision of aneurysm of heart
451,3734,Infect derm lid w deform,Infective dermatitis of eyelid of types resulting in deformity,"Exc/des hrt les,endovasc","Excision or destruction of other lesion or tissue of heart, endovascular approach"
452,3735,Infec dermatitis lid NEC,Other infective dermatitis of eyelid,Partial ventriculectomy,Partial ventriculectomy
453,3736,Parasitic infest eyelid,Parasitic infestation of eyelid,"Exc,destrct,exclus LAA","Excision, destruction, or exclusion of left atrial appendage (LAA)"
454,3749,Disorder of eyelid NOS,Unspecified disorder of eyelid,Heart/pericard repr NEC,Other repair of heart and pericardium
455,3766,"Old foreign body, orbit",Retained (old) foreign body following penetrating wound of orbit,Implantable hrt assist,Insertion of implantable heart assist system
456,3779,Optic nerve disorder NOS,Unspecified disorder of optic nerve and visual pathways,Rev/reloc card dev pockt,Revision or relocation of cardiac device pocket
457,3789,Eye movemnt disorder NOS,Unspecified disorder of eye movements,Revise or remove pacemak,Revision or removal of pacemaker device
458,5641,Irritable bowel syndrome,Irritable bowel syndrome,Partial ureterectomy,Partial ureterectomy
459,5642,Postgastric surgery synd,Postgastric surgery syndromes,Total ureterectomy,Total ureterectomy
460,5651,Anal fistula,Anal fistula,Form cutan ileoureterost,Formation of cutaneous uretero-ileostomy
461,5671,Pneumococcal peritonitis,Pneumococcal peritonitis,Urin diversion to bowel,Urinary diversion to intestine
462,5679,Peritonitis NOS,Unspecified peritonitis,Ureteral anastomosis NEC,Other anastomosis or bypass of ureter
463,5689,Peritoneal disorder NOS,Unspecified disorder of peritoneum,Repair of ureter NEC,Other repair of ureter
464,5691,Rectal prolapse,Rectal prolapse,Ureteral meatus dilation,Dilation of ureteral meatus
465,5692,Rectal & anal stenosis,Stenosis of rectum and anus,Implant ureteral stimul,Implantation of electronic ureteral stimulator
466,5693,Rectal & anal hemorrhage,Hemorrhage of rectum and anus,Replace ureteral stimul,Replacement of electronic ureteral stimulator
467,5695,Intestinal abscess,Abscess of intestine,Ligation of ureter,Ligation of ureter
468,5699,Intestinal disorder NOS,Unspecified disorder of intestine,Ureteral operation NEC,Other operations on ureter
469,570,Acute necrosis of liver,Acute and subacute necrosis of liver,Tu bladder clearance,Transurethral clearance of bladder
470,5711,Ac alcoholic hepatitis,Acute alcoholic hepatitis,Percutan bladder aspirat,Percutaneous aspiration of bladder
471,5253,Retained dental root,Retained dental root,Rad subtot pancreatectom,Radical subtotal pancreatectomy
472,436,Cva,"Acute, but ill-defined, cerebrovascular disease",Distal gastrectomy,Partial gastrectomy with anastomosis to duodenum
473,4941,Bronchiectasis w ac exac,Bronchiectasis with acute exacerbation,Hemorrhoid reduction,Reduction of hemorrhoids
474,4951,Bagassosis,Bagassosis,Left lat sphincterotomy,Left lateral anal sphincterotomy
475,4952,Bird-fanciers' lung,Bird-fanciers' lung,Post sphincterotomy,Posterior anal sphincterotomy
476,4959,Allerg alveol/pneum NOS,Unspecified allergic alveolitis and pneumonitis,Anal sphincterotomy NEC,Other anal sphincterotomy
477,496,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified",Excision of anus,Excision of anus
478,500,Coal workers' pneumocon,Coal workers' pneumoconiosis,Hepatotomy,Hepatotomy
479,503,Inorg dust pneumocon NEC,Pneumoconiosis due to other inorganic dust,Hepatic lobectomy,Lobectomy of liver
480,504,Dust pneumonopathy NEC,Pneumonopathy due to inhalation of other dust,Total hepatectomy,Total hepatectomy
481,5061,Fum/vapor ac pulm edema,Acute pulmonary edema due to fumes and vapors,Closure liver lacerat,Closure of laceration of liver
482,5069,Fum/vapor resp cond NOS,Unspecified respiratory conditions due to fumes and vapors,Liver repair NEC,Other repair of liver
483,5110,Pleurisy w/o effus or TB,Pleurisy without mention of effusion or current tuberculosis,Endosc retro cholangiopa,Endoscopic retrograde cholangiopancreatography [ERCP]
484,5111,Bact pleur/effus not TB,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis",Endosc retro cholangio,Endoscopic retrograde cholangiography [ERC]
485,5119,Pleural effusion NOS,Unspecified pleural effusion,Biliary tr dx proc NEC,Other diagnostic procedures on biliary tract
486,5121,Iatrogenic pneumothorax,Iatrogenic pneumothorax,Oth part cholecystectomy,Other partial cholecystectomy
487,5122,Postoperative air leak,Postoperative air leak,Cholecystectomy,Cholecystectomy
488,5131,Abscess of mediastinum,Abscess of mediastinum,Gb-to-hepat duct anast,Anastomosis of gallbladder to hepatic ducts
489,5161,Idio pulm hemosiderosis,Idiopathic pulmonary hemosiderosis,Excis cyst duct remnant,Excision of cystic duct remnant
490,5162,Pulm alveolar microlith,Pulmonary alveolar microlithiasis,Excis ampulla of vater,Excision of ampulla of Vater (with reimplantation of common duct)
491,5164,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,Endosc destru bile les,Endoscopic excision or destruction of lesion of biliary ducts or sphincter of Oddi
492,5169,Alveol pneumonopathy NOS,Unspecified alveolar and parietoalveolar pneumonopathy,Bile duct excision NEC,Excision of other bile duct
493,5171,Rheumatic pneumonia,Rheumatic pneumonia,Simple sut-common duct,Simple suture of common bile duct
494,5172,Syst sclerosis lung dis,Lung involvement in systemic sclerosis,Choledochoplasty,Choledochoplasty
495,5219,Hard tiss dis teeth NOS,Unspecified disease of hard tissues of teeth,Pancreatic dx proc NEC,Other diagnostic procedures on pancreas
496,5221,Necrosis of tooth pulp,Necrosis of the pulp,Endosc destr pancrea les,Endoscopic excision or destruction of lesion or tissue of pancreatic duct
497,5222,Tooth pulp degeneration,Pulp degeneration,Other destru pancrea les,Other excision or destruction of lesion or tissue of pancreas or pancreatic duct
498,5181,Interstitial emphysema,Interstitial emphysema,Sphincter of oddi dilat,Dilation of sphincter of Oddi
499,5182,Compensatory emphysema,Compensatory emphysema,Pancreat sphincterotom,Pancreatic sphincterotomy
500,5183,Pulmonary eosinophilia,Pulmonary eosinophilia,Pancreat sphincteroplas,Pancreatic sphincteroplasty
501,5184,Acute lung edema NOS,"Acute edema of lung, unspecified",Endosc dilation ampulla,Endoscopic dilation of ampulla and biliary duct
502,5186,Alrgc brncpul asprglosis,Allergic bronchopulmonary aspergillosis,Endosc inser nasobil tub,Endoscopic insertion of nasobiliary drainage tube
503,5187,Transfsn rel ac lung inj,Transfusion related acute lung injury (TRALI),Endosc inser stent bile,Endoscopic insertion of stent (tube) into bile duct
504,5192,Mediastinitis,Mediastinitis,Closure cholecystostomy,Closure of cholecystostomy
505,5193,Mediastinum disease NEC,"Other diseases of mediastinum, not elsewhere classified",Clos biliary fistul NEC,Closure of other biliary fistula
506,5194,Disorders of diaphragm,Disorders of diaphragm,Revis bile tract anastom,Revision of anastomosis of biliary tract
507,5198,Resp system disease NEC,"Other diseases of respiratory system, not elsewhere classified",Oth perc proc bil trct,Other percutaneous procedures on biliary tract
508,5199,Resp system disease NOS,Unspecified disease of respiratory system,Biliary tract op NEC,Other operations on biliary tract
509,5201,Supernumerary teeth,Supernumerary teeth,Cath drain-pancreat cyst,Drainage of pancreatic cyst by catheter
510,5209,Tooth devel/erup dis NOS,Unspecified disorder of tooth development and eruption,Pancreatotomy NEC,Other pancreatotomy
511,4541,Leg varicosity w inflam,Varicose veins of lower extremities with inflammation,Excise lg intestine les,Excision of lesion or tissue of large intestine
512,4542,Varicos leg ulcer/inflam,Varicose veins of lower extremities with ulcer and inflammation,Endo polpectomy lrge int,Endoscopic polypectomy of large intestine
513,4549,Asympt varicose veins,Asymptomatic varicose veins,Destruc lg bowel les NEC,Other destruction of lesion of large intestine
514,4550,Int hemorrhoid w/o compl,Internal hemorrhoids without mention of complication,Intest seg isolat NOS,"Isolation of intestinal segment, not otherwise specified"
515,4551,Int thrombos hemorrhoid,Internal thrombosed hemorrhoids,Sm bowel segment isolat,Isolation of segment of small intestine
516,4552,Int hemrrhoid w comp NEC,Internal hemorrhoids with other complication,Lg bowel segment isolat,Isolation of segment of large intestine
517,4561,Esoph varices w/o bleed,Esophageal varices without mention of bleeding,Mult seg sm bowel excis,Multiple segmental resection of small intestine
518,4563,Sublingual varices,Sublingual varices,Total removal sm bowel,Total removal of small intestine
519,4571,Other lymphedema,Other lymphedema,Opn mul seg lg intes NEC,Open and other multiple segmental resection of large intestine
520,4572,Lymphangitis,Lymphangitis,Open cecectomy NEC,Open and other cecectomy
521,4579,Noninfect lymph dis NOS,Unspecified noninfectious disorder of lymphatic channels,Prt lg intes exc NEC/NOS,Other and unspecified partial excision of large intestine
522,4581,Chronic hypotension,Chronic hypotension,Lap tot intr-ab colectmy,Laparoscopic total intra-abdominal colectomy
523,4590,Hemorrhage NOS,"Hemorrhage, unspecified",Intestinal anastom NOS,"Intestinal anastomosis, not otherwise specified"
524,4592,Compression of vein,Compression of vein,Sm bowel-rect stump anas,Anastomosis of small intestine to rectal stump
525,4610,Ac maxillary sinusitis,Acute maxillary sinusitis,Colostomy NOS,"Colostomy, not otherwise specified"
526,4611,Ac frontal sinusitis,Acute frontal sinusitis,Temporary colostomy,Temporary colostomy
527,4613,Ac sphenoidal sinusitis,Acute sphenoidal sinusitis,Permanent colostomy,Permanent colostomy
528,4650,Acute laryngopharyngitis,Acute laryngopharyngitis,Intest stoma closure NOS,"Closure of intestinal stoma, not otherwise specified"
529,4660,Acute bronchitis,Acute bronchitis,Intestinal fixation NOS,"Fixation of intestine, not otherwise specified"
530,4711,Polypoid sinus degen,Polypoid sinus degeneration,Lap incid appendectomy,Laparoscopic incidental appendectomy
531,4719,Nasal polyp NOS,Unspecified nasal polyp,Other incid appendectomy,Other incidental appendectomy
532,475,Peritonsillar abscess,Peritonsillar abscess,Postop revis per nerv op,Revision of previous repair of cranial and peripheral nerves
533,481,Pneumococcal pneumonia,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Anesth injec periph nerv,Injection of anesthetic into peripheral nerve for analgesia
534,481,Pneumococcal pneumonia,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Proctostomy,Proctostomy
535,4821,Pseudomonal pneumonia,Pneumonia due to Pseudomonas,Transab proctosigmoidosc,Transabdominal proctosigmoidoscopy
536,4822,H.influenzae pneumonia,Pneumonia due to Hemophilus influenzae [H. influenzae],Proctosigmoidosc thru st,Proctosigmoidoscopy through artificial stoma
537,4829,Bacterial pneumonia NOS,"Bacterial pneumonia, unspecified",Rect/perirect dx op NEC,"Other diagnostic procedures on rectum, rectosigmoid and perirectal tissue"
538,4831,Pneumonia d/t chlamydia,Pneumonia due to chlamydia,Rad electrocoag-rect les,Radical electrocoagulation of rectal lesion or tissue
539,4841,Pneum w cytomeg incl dis,Pneumonia in cytomegalic inclusion disease,Soave submuc rect resect,Soave submucosal resection of rectum
540,4843,Pneumonia in whoop cough,Pneumonia in whooping cough,Opn pull-thru res rectum,Open pull-through resection of rectum
541,4871,Flu w resp manifest NEC,Influenza with other respiratory manifestations,Suture of rectal lacer,Suture of laceration of rectum
542,4911,Mucopurul chr bronchitis,Mucopurulent chronic bronchitis,Anal fistulotomy,Anal fistulotomy
543,5531,Umbilical hernia,Umbilical hernia without mention of obstruction or gangrene,Renal les marsupializat,Marsupialization of kidney lesion
544,5533,Diaphragmatic hernia,Diaphragmatic hernia without mention of obstruction or gangrene,Perc abltn renl les/tiss,Percutaneous ablation of renal lesion or tissue
545,5539,Hernia NOS,Hernia of unspecified site without mention of obstruction or gangrene,Loc destr renal les NEC,Other local destruction or excision of renal lesion or tissue
546,5551,"Reg enteritis, lg intest",Regional enteritis of large intestine,Nephroureterectomy,Nephroureterectomy
547,5552,Reg enterit sm/lg intest,Regional enteritis of small intestine with large intestine,Solitary kidney nephrect,Nephrectomy of remaining kidney
548,5561,Ulcerative ileocolitis,Ulcerative (chronic) ileocolitis,Renal autotransplant,Renal autotransplantation
549,5569,Ulceratve colitis unspcf,"Ulcerative colitis, unspecified",Kidney transplant NEC,Other kidney transplantation
550,5581,Radiation gastroenterit,Gastroenteritis and colitis due to radiation,Suture kidney laceration,Suture of laceration of kidney
551,5582,Toxic gastroenteritis,Toxic gastroenteritis and colitis,Close nephrost & pyelost,Closure of nephrostomy and pyelostomy
552,5583,Allrgic gastro & colitis,Allergic gastroenteritis and colitis,Close renal fistula NEC,Closure of other fistula of kidney
553,5589,Noninf gastroenterit NEC,Other and unspecified noninfectious gastroenteritis and colitis,Renal repair NEC,Other repair of kidney
554,6191,"Digest-genit fistul, fem","Digestive-genital tract fistula, female",Percut tunica aspiration,Percutaneous aspiration of tunica vaginalis
555,6192,"Genital-skin fistul, fem","Genital tract-skin fistula, female",Excision tunica les NEC,Excision of lesion of tunica vaginalis other than hydrocele
556,6199,Fem genital fistula NOS,Unspecified fistula involving female genital tract,Scrotum & tunica op NEC,Other operations on scrotum and tunica vaginalis
557,6211,Chr uterine subinvolutn,Chronic subinvolution of uterus,Closed testicular biopsy,Closed [percutaneous] [needle] biopsy of testis
558,6212,Hypertrophy of uterus,Hypertrophy of uterus,Open testicular biopsy,Open biopsy of testis
559,6219,Disorder of uterus NOS,Unspecified disorder of uterus,Testes dx procedure NEC,Other diagnostic procedures on testes
560,6241,Atrophy of vulva,Atrophy of vulva,Remove both testes,Removal of both testes at same operative episode
561,6242,Hypertrophy of clitoris,Hypertrophy of clitoris,Remove solitary testis,Removal of remaining testis
562,6261,Scanty menstruation,Scanty or infrequent menstruation,Suture testicular lacer,Suture of laceration of testis
563,6269,Menstrual disorder NOS,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,Testicular repair NEC,Other repair of testis
564,6291,Hydrocele canal nuck-fem,"Hydrocele, canal of nuck",Aspiration of testes,Aspiration of testis
565,6299,Female genital dis NOS,Unspecified disorder of female genital organs,Testicular operation NEC,Other operations on testes
566,632,Missed abortion,Missed abortion,Excise epididymis cyst,Excision of cyst of epididymis
567,5712,Alcohol cirrhosis liver,Alcoholic cirrhosis of liver,Cystotomy & adhesiolysis,Lysis of intraluminal adhesions with incision into bladder
568,5718,Chronic liver dis NEC,Other chronic nonalcoholic liver disease,Other suprapu cystostomy,Other suprapubic cystostomy
569,5719,Chronic liver dis NOS,Unspecified chronic liver disease without mention of alcohol,Cystotomy NEC,Other cystotomy
570,5721,Portal pyemia,Portal pyemia,Vesicostomy,Vesicostomy
571,5722,Hepatic encephalopathy,Hepatic encephalopathy,Revise clo vesicostomy,Revision or closure of vesicostomy
572,5731,Hepatitis in viral dis,Hepatitis in viral diseases classified elsewhere,Cystoscopy thru stoma,Cystoscopy through artificial stoma
573,5732,Hepatitis in oth inf dis,Hepatitis in other infectious diseases classified elsewhere,Cystoscopy NEC,Other cystoscopy
574,5733,Hepatitis NOS,"Hepatitis, unspecified",Clos transureth bladd bx,Closed [transurethral] biopsy of bladder
575,5734,Hepatic infarction,Hepatic infarction,Open bladder biopsy,Open biopsy of bladder
576,5739,Liver disorder NOS,Unspecified disorder of liver,Bladder diagnos proc NEC,Other diagnostic procedures on bladder
577,5759,Dis of gallbladder NOS,Unspecified disorder of gallbladder,Bladder les destruct NEC,Open excision or destruction of other lesion or tissue of bladder
578,5771,Chronic pancreatitis,Chronic pancreatitis,Radical cystectomy,Radical cystectomy
579,5779,Pancreatic disease NOS,Unspecified disease of pancreas,Total cystectomy NEC,Other total cystectomy
580,5781,Blood in stool,Blood in stool,Suture bladder lacerat,Suture of laceration of bladder
581,5789,Gastrointest hemorr NOS,"Hemorrhage of gastrointestinal tract, unspecified",Bladder repair NEC,Other repair of bladder
582,5791,Tropical sprue,Tropical sprue,Bladder sphincterotomy,Sphincterotomy of bladder
583,5792,Blind loop syndrome,Blind loop syndrome,Bladder neck dilation,Dilation of bladder neck
584,5793,Intest postop nonabsorb,Other and unspecified postsurgical nonabsorption,Control bladd hemorrhage,Control of (postoperative) hemorrhage of bladder
585,5794,Pancreatic steatorrhea,Pancreatic steatorrhea,Insert indwelling cath,Insertion of indwelling urinary catheter
586,5798,Intest malabsorption NEC,Other specified intestinal malabsorption,Remove bladder stimulat,Removal of electronic bladder stimulator
587,5799,Intest malabsorption NOS,Unspecified intestinal malabsorption,Bladder operation NEC,Other operations on bladder
588,5821,Chr membranous nephritis,Chronic glomerulonephritis with lesion of membranous glomerulonephritis,Perineal urethroscopy,Perineal urethroscopy
589,5822,Chr membranoprolif nephr,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis,Urethroscopy NEC,Other urethroscopy
590,5824,Chr rapid progr nephrit,Chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis,Periurethral biopsy,Biopsy of periurethral tissue
591,5829,Chronic nephritis NOS,Chronic glomerulonephritis with unspecified pathological lesion in kidney,Urethral dx proc NEC,Other diagnostic procedures on urethra and periurethral tissue
592,5831,Membranous nephritis NOS,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis",Endosc destr urethra les,Endoscopic excision or destruction of lesion or tissue of urethra
593,5839,Nephritis NOS,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney",Other destru urethra les,Other local excision or destruction of lesion or tissue of urethra
594,5845,"Ac kidny fail, tubr necr",Acute kidney failure with lesion of tubular necrosis,Hypo-epispadius repair,Repair of hypospadias or epispadias
595,5846,"Ac kidny fail, cort necr",Acute kidney failure with lesion of renal cortical necrosis,Ureth reconstruction NEC,Other reconstruction of urethra
596,5847,"Ac kidny fail, medu necr",Acute kidney failure with lesion of renal medullary [papillary] necrosis,Urethral meatoplasty,Urethral meatoplasty
597,5849,Acute kidney failure NOS,"Acute kidney failure, unspecified",Urethral repair NEC,Other repair of urethra
598,586,Renal failure NOS,"Renal failure, unspecified",Urethral dilation,Dilation of urethra
599,5891,Bilateral small kidneys,Bilateral small kidneys,Periurethral incision,Incision of periurethral tissue
600,5899,Small kidney NOS,"Small kidney, unspecified",Ureth/periureth op NEC,Other operations on urethra and periurethral tissue
601,5902,Renal/perirenal abscess,Renal and perinephric abscess,Periren adhesiolys NEC,Other lysis of perirenal or periureteral adhesions
602,5903,Pyeloureteritis cystica,Pyeloureteritis cystica,Lap lys periren/uret adh,Laparoscopic lysis of perirenal or periureteral adhesions
603,5909,Infection of kidney NOS,"Infection of kidney, unspecified",Periren/ureter incis NEC,Other incision of perirenal or periureteral tissue
604,5259,Dental disorder NOS,Unspecified disorder of the teeth and supporting structures,Partial pancreatect NEC,Other partial pancreatectomy
605,5281,Cancrum oris,Cancrum oris,Reimplant pancreatic tis,Reimplantation of pancreatic tissue
606,5282,Oral aphthae,Oral aphthae,Pancreatic homotransplan,Homotransplant of pancreas
607,5283,Cellulitis/abscess mouth,Cellulitis and abscess of oral soft tissues,Pancreatic heterotranspl,Heterotransplant of pancreas
608,5284,Oral soft tissue cyst,Cysts of oral soft tissues,Autotrnsplnt islets lang,Autotransplantation of cells of Islets of Langerhans
609,5285,Diseases of lips,Diseases of lips,Allotrnsplnt islets lang,Allotransplantation of cells of Islets of Langerhans
610,5286,Leukoplakia oral mucosa,"Leukoplakia of oral mucosa, including tongue",Trnsplnt islets lang NOS,"Transplantation of cells of Islets of Langerhans, not otherwise specified"
611,5292,Med rhomboid glossitis,Median rhomboid glossitis,Cannulation pancrea duc,Cannulation of pancreatic duct
612,5293,Hypertroph tongue papill,Hypertrophy of tongue papillae,Endosc inser panc stent,Endoscopic insertion of stent (tube) into pancreatic duct
613,5294,Atrophy tongue papillae,Atrophy of tongue papillae,Endosc remove panc stone,Endoscopic removal of stone(s) from pancreatic duct
614,5295,Plicated tongue,Plicated tongue,Pancreatic repair NEC,Other repair of pancreas
615,5296,Glossodynia,Glossodynia,Pancreatic anastomosis,Anastomosis of pancreas
616,5298,Tongue disorder NEC,Other specified conditions of the tongue,Endosc dil pancreat duct,Endoscopic dilation of pancreatic duct
617,5299,Tongue disorder NOS,Unspecified condition of the tongue,Pancreatic operation NEC,Other operations on pancreas
618,5300,Achalasia & cardiospasm,Achalasia and cardiospasm,Unilat ing hern rep NOS,"Unilateral repair of inguinal hernia, not otherwise specified"
619,5303,Esophageal stricture,Stricture and stenosis of esophagus,Opn dir ing hern-gft NEC,Other and open repair of direct inguinal hernia with graft or prosthesis
620,5304,Perforation of esophagus,Perforation of esophagus,Opn ind ing hern-gft NEC,Other and open repair of indirect inguinal hernia with graft or prosthesis
621,5305,Dyskinesia of esophagus,Dyskinesia of esophagus,Ing hernia rep-graft NOS,"Repair of inguinal hernia with graft or prosthesis, not otherwise specified"
622,5361,Ac dilation of stomach,Acute dilatation of stomach,Open incis hern-grft NEC,Other open incisional hernia repair with graft or prosthesis
623,5362,Persistent vomiting,Persistent vomiting,Lap incis hern repr-grft,Laparoscopic incisional hernia repair with graft or prosthesis
624,5363,Gastroparesis,Gastroparesis,Lap hern ant abd-gft NEC,Other laparoscopic repair of other hernia of anterior abdominal wall with graft or prosthesis
625,5369,Stomach function dis NOS,Unspecified functional disorder of stomach,Opn hern ant abd-grf NEC,Other and open repair of other hernia of anterior abdominal wall with graft or prosthesis
